Name,TLR,RPC,GO,OI,Perception,State
Jamia Hamdard,67.8,17.57,70.05,74.13,3.6,Delhi
Koneru Lakshmaiah Education Foundation University (K L College of Engineering),70.68,26.18,54.41,70.35,3.1,Andhra Pradesh
PSG College of Technology,60.45,11.27,76.6,57.88,45.02,Tamil Nadu
Cochin University of Science and Technology,70.94,19.37,66.27,58.71,8.69,Kerala
Thiagarajar School of Management,66.9,24.31,64.38,47.67,20.06,Tamil Nadu
BML Munjal University,70.47,14.53,66.98,74.64,3.1,Haryana
Prin. L.N. Welingkar Institute of Management Development and Research (PGDM),67.48,10.7,81.8,60.71,6.45,Maharashtra
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,62.24,23.46,71.8,52.78,11.23,Madhya Pradesh
Babasaheb Bhimrao Ambedkar University,62.44,11.05,78.23,82.67,4.57,Uttar Pradesh
Jagan Institute of Management Studies Technical Campus,66.04,8.36,78.75,70.66,12.44,Delhi
New Delhi Institute of Management,70.21,3.47,79.1,72.49,11.23,Delhi
Pandit Deendayal Energy University,60.14,26.68,75.31,40.8,2.09,Gujarat
Birla Institute of Technology,61.75,23.08,64.18,54.84,12.44,Jharkhand
National Institute of Bank Management,64.45,8.17,85.01,58.5,2.09,Maharashtra
Panjab University,48.21,29.8,69.61,55.78,18.02,Chandigarh
Rajagiri Business School,65.55,20.92,59.14,56.91,8.69,Kerala
Bharathidasan Institute of Management,63.85,0.69,82.36,48.63,34.73,Tamil Nadu
Tezpur University,63.73,16.91,68.04,53.22,3.6,Assam
National Institute of Agricultural Extension Management,69.3,7.76,67.84,60.66,4.09,Telangana
Institute of Management Technology,55.45,13.61,75.76,61.83,9.55,Telangana
Galgotias University,62.42,14.99,64.51,65.12,2.6,Uttar Pradesh
Krea University,69.73,2.22,64.61,73.15,9.98,Andhra Pradesh
National Institute of Technology Warangal,63.7,28.57,46.53,46.36,9.98,Telangana
