Name,TLR,RPC,GO,OI,Perception,State
"Vimala College, Thrissur",67.42,19.13,70.74,57.46,2.11,Kerala
"S S Jain Subodh P G College, Jaipur",72.86,18.08,53.28,80.83,2.11,Rajasthan
National College,60.65,51.58,60.01,42.6,18.85,Tamil Nadu
Sri Ramakrishna Mission Vidyalaya College of Arts and Science,54.63,94.6,61.32,8.08,9.63,Tamil Nadu
Government Victoria College,61.34,31.62,72.57,47.08,9.63,Kerala
St. Joseph's College,57.6,20.23,80.61,58.39,8.76,Kerala
Maharaja Agrasen College,62.24,30.49,65.26,63.19,7.87,Delhi
"M S Ramaiah College of Arts, Science, and Commerce",48.84,23.13,81.32,61.49,33.76,Karnataka
Scottish Church College,62.92,45.6,56.96,47.99,17.45,West Bengal
Guru Nanak College,65.6,24.89,63.68,52.61,14.49,Tamil Nadu
St. Xavier`s College,47.83,30.15,74.17,59.44,44.72,Maharashtra
Bethune College,62.22,24.47,64.73,44.34,33.27,West Bengal
CMS College Kottayam,64.63,41.75,59.23,53.35,1.07,Kerala
Keshav Mahavidyalya,64.21,35.74,61.51,57.07,0,Delhi
Dr. S. N. S. Rajalakshmi College of Arts and Science,70.11,2.13,66.61,64.67,6.04,Tamil Nadu
Virudhunagar Hindu Nadars Senthikumara Nadar College,58.97,52.77,59.71,45.68,10.48,Tamil Nadu
Government Arts College,58.16,29.32,74.85,53.4,2.11,Tamil Nadu
Delhi College of Arts and Commerce,48.21,13,79.55,66.32,41.64,Delhi
Sadakathullah Appa College,59.79,18.47,77.37,50.94,7.87,Tamil Nadu
Shri Shivaji Science College,57.36,30.83,79.59,41.88,2.11,Maharashtra
Scott Christian College,68.39,25.68,57.83,51.25,10.48,Tamil Nadu
