Name,TLR,RPC,GO,OI,Perception,State
Guru Gobind Singh Indraprastha University,56.43,25.51,67.74,54.12,41.24,Delhi
Bangalore University,60.28,14.17,76.46,59.2,39.12,Karnataka
Birla Institute of Technology,58.07,32.38,60.98,52.87,26.87,Jharkhand
Central University of Punjab,56.93,29.71,56.15,63.25,35.69,Punjab
Tamil Nadu Agricultural University,71.11,17.53,72.49,55.1,4.34,Tamil Nadu
Sant Longowal Institute of Engineering and Technology,63.34,22.96,61.64,65.28,21.46,Punjab
Sharda University,57.93,28.97,57.15,66.58,27.16,Uttar Pradesh
Sri Venkateswara University,65.47,13.14,74.82,55.82,25.31,Andhra Pradesh
G.B. Pant Universtiy of Agriculture and Technology,64.72,25.52,69.85,51.25,4.63,Uttarakhand
Calicut University,70.5,16.09,62.44,57.31,24.33,Kerala
University of Agricultural Sciences,73.06,10.65,75.63,58.77,3.46,Karnataka
Chitkara University,47.7,35.49,58.54,64.9,33.12,Punjab
Manav Rachna International Institute of Research and Studies,65.41,10.2,66.4,68.2,36.83,Haryana
"Manonmaniam Sundaranar University, Tirunelveli",61.87,24.49,67.18,50.32,19.63,Tamil Nadu
Madan Mohan Malaviya University of Technology,66.18,15.78,63.84,70.12,19.63,Uttar Pradesh
Yenepoya University,66.94,16.44,57.96,69.58,27.46,Karnataka
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,55.08,28.76,55.11,64.48,36.02,Tamil Nadu
University of Lucknow,47.85,12.78,86.8,63.07,40.31,Uttar Pradesh
Avinashilingam Institute for Home Science and Higher Education for Women,69.56,6.29,66.4,63.07,34.34,Tamil Nadu
Central University of Tamil Nadu,64.08,22.07,63.05,68.47,4.34,Tamil Nadu
Netaji Subhas University of Technology (NSUT),65.37,20.64,67.98,50.07,11.01,Delhi
