Name,TLR,RPC,GO,OI,Perception,State
M. S. Ramaiah Institute of Technology,67.96,25.27,62.62,56,22.36,Karnataka
Sant Longowal Institute of Engineering and Technology,78.75,25.46,49.36,65.02,5.93,Punjab
COEP Technological University,64.95,21.48,67.24,51.61,33.51,Maharashtra
Banasthali Vidyapith,64.78,21,73.66,72.16,1.78,Rajasthan
National Institute of Technology Srinagar,62.6,30.19,67.16,58.61,6.33,Jammu and Kashmir
Rajiv Gandhi Institute of Petroleum Technology,77.55,14.26,69.08,59.78,0.9,Uttar Pradesh
National Institute of Technology Kurukshetra,49.88,37.75,65.87,52.63,20.74,Haryana
National Institute of Technology Agartala,63.57,25.62,65.58,58.84,9.34,Tripura
Sri Krishna College of Engineering and Technology,66.04,23.5,63.87,47.69,21.28,Tamil Nadu
Madan Mohan Malaviya University of Technology,73.11,21.42,53.6,69.58,3.49,Uttar Pradesh
Indraprastha Institute of Information Technology,54.3,31.67,71.72,44.34,17.57,Delhi
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,61.79,36.98,44.86,69.15,7.1,Tamil Nadu
Indian Institute of Information Technology Allahabad,46.98,24.94,80.61,54.41,27.14,Uttar Pradesh
Jawaharlal Nehru Technological University,67.36,23.69,57,56.49,14.15,Telangana
Guru Gobind Singh Indraprastha University,57.82,30.18,62.52,52.14,15.43,Delhi
AU College of Engineering (A),70.81,12.34,65.9,68.52,6.33,Andhra Pradesh
"Vignan's Foundation for Science, Technology and Research",66.88,22.57,54.55,64.37,12.49,Andhra Pradesh
Shoolini University of Biotechnology and Management Sciences,54.72,42.53,45.81,65.88,4.73,Himachal Pradesh
Christ University,60.99,38.9,34.41,61.52,20.18,Karnataka
Chitkara University,52.61,36.19,51.54,64.91,13.82,Punjab
"Jain University, Bangalore",65.07,32.16,44.07,61.19,5.13,Karnataka
"C.V. Raman Global University, Odisha",76.2,4.85,57.48,74.22,13.17,Odisha
National Institute of Technology Puducherry,61.77,21.98,58.16,66.58,9.7,Pondicherry
SR University,71.12,16.67,53.31,63.59,9.34,Telangana
R.V. College of Engineering,67.53,16.67,58.98,52.15,19.9,Karnataka
Siddaganga Institute of Technology,66.69,15.31,61.78,59.8,10.06,Karnataka
