Name,TLR,RPC,GO,OI,Perception,State
Guru Nanak Institute of Pharmaceutical Science and Technology,69.32,5.87,63.3,61.45,23.04,West Bengal
Bundelkhand University,62.17,14.06,69.06,46.81,23.04,Uttar Pradesh
Y. B. Chavan College of Pharmacy,63.34,13.44,58.51,55.72,31.87,Maharashtra
KIET Group of Institutions: KIET Group of Pharmacy,67.02,24.69,48.9,52.04,9.17,Uttar Pradesh
"College of Pharmacy, Madras Medical College",57.77,3.26,65.99,54.11,64.44,Tamil Nadu
Sri Venkateswara College of Pharmacy,61.53,5.54,69.31,61.08,26.8,Andhra Pradesh
Bharati Vidyapeeth College of Pharmacy,55.61,22.03,57.43,52.19,24.97,Maharashtra
DIT University,60.81,21.92,50.64,63.52,11.83,Uttarakhand
Arulmigu Kalasalingam College of Pharmacy,68.18,2.12,52.14,62.79,37.8,Tamil Nadu
Sri Adichunchanagiri College of Pharmacy,65.35,15.67,50.09,60.28,11.83,Karnataka
B. S. Abdur Rahman Crescent Institute of Science and Technology,55.41,14.89,63.39,45.22,31.87,Tamil Nadu
"Sam Higginbottom Institute of Agriculture, Technology and Sciences",55.28,40.04,40.1,45.05,3.29,Uttar Pradesh
Acharya & B M Reddy College of Pharmacy,56.86,8.05,54.89,64.75,44.19,Karnataka
Vishnu Institute of Pharmaceutical Education and Research,61.31,5.53,58.64,54.92,39.16,Telangana
Kakatiya University,50.34,23.2,48.91,58.23,34.94,Telangana
Vinayaka Mission's Research Foundation,61.65,22.26,53.44,42.31,9.17,Tamil Nadu
Ramanbhai Patel College of Pharmacy,63.41,19.59,51.15,51.37,6.33,Gujarat
"Uka Tarsadia University, Bardoli",62.22,22.16,48.81,54.56,3.29,Gujarat
Shri Vishnu College of Pharmacy,59.04,7.24,55.29,54.81,42.99,Andhra Pradesh
Goa College of Pharmacy,60.12,10.42,54.69,52.48,33.44,Goa
Dr. B. C. Roy College of Pharmacy and Allied Health Sciences,65.19,9.74,59.77,43.52,18.91,West Bengal
CMR College of Pharmacy,66.06,2.88,50.62,56.63,40.47,Telangana
P. E. Society`s Modern College of Pharmacy,64.65,6.18,58.31,55.06,18.91,Maharashtra
Principal K.M. Kundnani College of Pharmacy,60.54,9.59,61.9,53.79,14.32,Maharashtra
Krupanidhi College of Pharmacy,66.16,9.65,48.64,66.98,9.17,Karnataka
AISSMS College of Pharmacy,63.23,3,52.37,53.27,42.99,Maharashtra
"College of Pharmacy, Pandit Bhagwat Dayal Sharma University of Health Sciences",59.94,2.63,68.39,49.94,21.03,Haryana
